,Brand_Name,Model_Name,Phone_Colour,Rom,Rating,Rating_Count,Reviews_Count,Price,Pre_price,Battery_Capacity,Display_Size,Processor,Primary_Camera,Rating_Group,Price_Group,Display_Group
351,SAMSUNG,SAMSUNG Galaxy F34 5G ,Electric Black,128,4.1,253,24,20999,25999,3600.0,6.5,Exynos1280,50.0,Good,20k-40k,Large
352,realme,realme GT NEO 2 ,NEO Black,256,4.4,4625,648,25999,38999,5000.0,6.62,QualcommSnapdragon870,64.0,Good,20k-40k,Very Large
353,realme,realme GT NEO 2 ,NEO Blue,256,4.4,4625,648,25999,38999,5000.0,6.62,QualcommSnapdragon870,64.0,Good,20k-40k,Very Large
354,SAMSUNG,SAMSUNG Galaxy F34 5G ,Electric Black,128,4.3,1153,107,18999,24499,3600.0,6.5,Exynos1280,50.0,Good,0-20k,Large
355,LAVA,LAVA GEM POWER,Mystic Green,128,4.1,116,11,1669,2099,2575.0,2.8,,2.0,Good,0-20k,Small
356,LAVA,LAVA A1 Josh BOL,Mystic Green,128,4.2,84,9,1039,1399,1000.0,1.77,,50.0,Good,0-20k,Small
357,realme,realme 11 Pro+ 5G ,Sunrise Beige,256,4.3,5709,634,29999,32999,3600.0,6.7,Dimensity7050,200.0,Good,20k-40k,Very Large
358,realme,realme 11 Pro+ 5G ,Sunrise Beige,256,4.3,19872,2162,27999,29999,3600.0,6.7,Dimensity7050,200.0,Good,20k-40k,Very Large
359,Micromax,Micromax S115,Mystic Green,128,3.7,640,39,899,1599,800.0,1.77,,50.0,Fair,0-20k,Small
360,SAMSUNG,SAMSUNG Galaxy F04 ,Opal Green,64,4.2,38773,2205,7099,11499,3600.0,6.5,MediatekHelioP35,13.0,Good,0-20k,Large
361,SAMSUNG,SAMSUNG Galaxy F04 ,Jade Purple,64,4.2,38773,2205,7099,11499,3600.0,6.5,MediatekHelioP35,13.0,Good,0-20k,Large
362,KARBONN,KARBONN K531,Mystic Green,128,4.0,305,29,1390,1790,1800.0,2.4,,0.3,Good,0-20k,Small
363,KARBONN,KARBONN K531,Mystic Green,128,4.0,305,29,1391,1790,1800.0,2.4,,0.3,Good,0-20k,Small
364,POCO,POCO M4 5G ,Yellow,64,4.2,91755,6341,11999,15999,3600.0,6.58,MediatekDimensity700,50.0,Good,0-20k,Large
365,LAVA,LAVA A1 2021,Mystic Green,128,4.0,5244,419,1195,1499,3600.0,1.8,Android10.0,0.3,Good,0-20k,Small
